price,year,manufacturer,model,condition,odometer,transmission,lat,long
17899,2012.0,volkswagen,golf r,excellent,63500.0,manual,40.7372,-111.858
0,2016.0,ford,f-150,excellent,10.0,automatic,40.5881,-111.884
46463,2015.0,gmc,sierra 1500,excellent,7554.0,automatic,40.5881,-111.884
0,2016.0,ford,f-150,excellent,10.0,automatic,40.5881,-111.884
49999,2018.0,ford,f-450,,70150.0,automatic,40.3744,-104.694
13999,2009.0,ram,,,120057.0,automatic,40.3744,-104.694
34500,2017.0,ford,f-350,,95484.0,automatic,40.3744,-104.694
14500,2007.0,gmc,sierra,,89340.0,automatic,40.3744,-104.694
12500,2013.0,ford,f-250,,226031.0,automatic,40.3744,-104.694
34500,2012.0,ram,,,128153.0,automatic,40.3744,-104.694
5900,1994.0,ford,f-250,,168838.0,manual,40.3744,-104.694
16500,2013.0,gmc,yukon,,156385.0,automatic,40.3744,-104.694
14500,2007.0,toyota,tundra,,135287.0,automatic,40.3744,-104.694
27999,2015.0,gmc,sierra,,73612.0,automatic,40.3744,-104.694
14999,2004.0,ram,,,235790.0,automatic,40.3744,-104.694
24999,2014.0,ram,2500,,158156.0,automatic,40.3744,-104.694
35500,2015.0,gmc,sierra,,127515.0,automatic,40.3744,-104.694
8999,2002.0,chevrolet,silverado,,179098.0,automatic,40.3744,-104.694
5999,2003.0,mercedes-benz,s-class,,185220.0,automatic,40.3744,-104.694
63500,2019.0,ford,f-350,,20930.0,automatic,40.3744,-104.694
13500,2010.0,gmc,sierra,,231570.0,automatic,40.3744,-104.694
31895,2008.0,jeep,wrangler rubicon unlimited,excellent,75000.0,automatic,19.7452,-155.901
9500,2001.0,ford,excursion limited,good,,automatic,39.9542,-111.715
57995,,,olet Silverado 2500HD,,9458.0,automatic,33.4583,-111.926
4600,2008.0,honda,civic,good,110982.0,automatic,40.7499,-111.926
32995,2014.0,gmc,sierra 1500,,93242.0,automatic,33.4583,-111.926
39995,,,ierra 1500,,15708.0,automatic,33.4583,-111.926
26950,2015.0,ram,3500 hd,,68013.0,automatic,40.7476,-111.939
39995,2016.0,chevrolet,silverado 1500,,23773.0,automatic,33.4583,-111.926
8300,2016.0,chevrolet,spark ev,like new,28000.0,automatic,40.7009,-112.081
30000,1992.0,,American General,excellent,13000.0,automatic,31.9045,-110.214
43995,,,olet Silverado 1500,,7238.0,automatic,33.4583,-111.926
37995,2017.0,ram,1500,,21125.0,automatic,33.4583,-111.926
43995,,,ierra 1500,,9968.0,automatic,33.4583,-111.926
59995,,,ierra 1500,,9228.0,automatic,33.4583,-111.926
27476,2015.0,lexus,rx,,41245.0,automatic,39.6405,-104.961
23500,2011.0,cadillac,escalade esv,,80855.0,automatic,39.6405,-104.961
15475,2016.0,dodge,grand caravan,,58103.0,automatic,39.6405,-104.961
15475,2018.0,hyundai,elantra,,11892.0,automatic,39.6405,-104.961
3995,1999.0,subaru,outback,,215349.0,automatic,45.1637,-113.894
34900,2015.0,toyota,tundra,,42649.0,automatic,39.6405,-104.961
21475,2018.0,honda,civic,,10683.0,automatic,39.6405,-104.961
14476,2017.0,ford,edge,,81130.0,automatic,39.6405,-104.961
23295,2013.0,lexus,gs,,63842.0,automatic,37.1756,-113.608
0,2016.0,ford,f-350 super duty,excellent,10.0,automatic,40.5881,-111.884
0,2016.0,ford,focus,excellent,10.0,automatic,40.5881,-111.884
28248,2014.0,ford,mustang,excellent,8543.0,manual,40.5881,-111.884
23800,2010.0,,wheelchair van,,37700.0,automatic,33.4564,-112.128
28000,2004.0,ford,f550 mechanics service,good,67348.0,automatic,40.3179,-111.704
15995,2014.0,ram,1500,,103252.0,automatic,33.4583,-111.926
10550,2014.0,honda,odyssey ex,,79035.0,automatic,40.7477,-111.939
37995,2017.0,gmc,sierra 1500,,37152.0,automatic,33.4583,-111.926
18999,2015.0,mercedes-benz,cla-class,excellent,37000.0,automatic,38.615,-121.272
79997,2016.0,mercedes-benz,amg gts,excellent,28000.0,automatic,38.615,-121.272
18999,2013.0,bmw,3 series,excellent,65000.0,automatic,38.615,-121.272
44995,,,a Tundra,,9650.0,automatic,33.4583,-111.926
33950,1935.0,ford,2dr sedan,,0.0,automatic,48.4326,-122.338
2500,2004.0,ford,mustang,good,129000.0,manual,41.2627,-111.984
68500,2019.0,cadillac,escalade luxury,like new,8800.0,manual,40.1625,-111.599
22995,2013.0,ford,f-150,,63425.0,automatic,33.4583,-111.926
28895,2016.0,ram,1500,,19086.0,automatic,45.1637,-113.894
105500,2017.0,mercedes-benz,sprinter 2500 4x4,excellent,35000.0,other,40.6916,-112.001
54997,2010.0,mercedes-benz,g-class,excellent,75000.0,automatic,38.615,-121.272
29999,2012.0,mercedes-benz,cls-class,excellent,83000.0,automatic,38.615,-121.272
14795,2008.0,lexus,gx,,164666.0,automatic,37.1756,-113.608
36995,2014.0,ford,f-150,,93452.0,automatic,33.4583,-111.926
8950,2014.0,chrysler,300,,58677.0,automatic,40.7477,-111.939
16500,2006.0,toyota,tacoma xrunner,excellent,,manual,40.9036,-117.794
36995,2015.0,gmc,sierra 2500hd,,67425.0,automatic,33.4583,-111.926
24700,2010.0,ram,diesel cummins 3500,excellent,262000.0,automatic,39.3019,-104.818
14900,2010.0,toyota,4runner,,78728.0,automatic,39.6405,-104.961
34876,2011.0,cadillac,cts-v,,48289.0,automatic,39.6405,-104.961
12495,2019.0,nissan,altima,,11092.0,automatic,39.7039,-105.044
32975,2016.0,jeep,wrangler,,28282.0,manual,39.6405,-104.961
6495,2018.0,ford,focus,,24469.0,automatic,39.7039,-105.044
31221,2016.0,mercedes-benz,e-class,,14222.0,automatic,39.6405,-104.961
19499,2008.0,jeep,wrangler,,60004.0,manual,39.6405,-104.961
0,2014.0,chevrolet,cruze,,68908.0,automatic,39.6405,-104.961
13976,2011.0,toyota,tacoma,,93157.0,manual,39.6405,-104.961
5495,2016.0,mitsubishi,outlander sport,,55149.0,automatic,39.7039,-105.044
8499,2005.0,volkswagen,beetle,,43524.0,automatic,39.6405,-104.961
21999,2004.0,mercedes-benz,sl-class,excellent,55000.0,automatic,38.615,-121.272
37995,,,olet Silverado 1500,,15252.0,automatic,33.4583,-111.926
0,2016.0,buick,encore,,36959.0,automatic,,
7495,2017.0,nissan,sentra,,70109.0,automatic,39.7039,-105.044
26950,2019.0,nissan,armada,,8871.0,automatic,39.7039,-105.044
6995,2010.0,chevrolet,traverse,,115266.0,automatic,39.7039,-105.044
7995,2014.0,toyota,corolla,,69260.0,automatic,39.7039,-105.044
2250,2004.0,toyota,celica,,113248.0,automatic,39.7039,-105.044
59995,,,ierra 1500,,6815.0,automatic,33.4583,-111.926
2800,2006.0,acura,tsx,,104421.0,automatic,39.7039,-105.044
5495,2015.0,nissan,frontier,,75506.0,automatic,39.7039,-105.044
8995,2019.0,nissan,sentra,,19558.0,automatic,39.7039,-105.044
7995,2019.0,mitsubishi,eclipse cross,,8161.0,automatic,39.7039,-105.044
3250,2017.0,ford,focus,,31336.0,automatic,39.7039,-105.044
16476,2004.0,chevrolet,corvette,,46153.0,automatic,39.6405,-104.961
